fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
"Oct 14, 2024",0368741,0377131,0367686,0376755,0376755,38282635
"Oct 13, 2024",0373185,0373816,0365941,0368741,0368741,34956395
"Oct 12, 2024",0374322,0376278,0372665,0373185,0373185,34535571
"Oct 11, 2024",0370859,0375731,0370675,0374322,0374322,37396835
"Oct 10, 2024",0370334,0375840,0365569,0370862,0370862,39011395
"Oct 9, 2024",0376919,0379911,0367764,0370334,0370334,36710952
"Oct 8, 2024",0375599,0378914,0373611,0376919,0376919,37012090
"Oct 7, 2024",0382460,0389200,0375478,0375599,0375599,36113304
"Oct 6, 2024",0379287,0384214,0378116,0382460,0382460,33126680
"Oct 5, 2024",0383738,0385176,0377004,0379287,0379287,32946008
"Oct 4, 2024",0376444,0385671,0376168,0383738,0383738,34969976
"Oct 3, 2024",0375103,0378249,0369330,0376423,0376423,37015414
"Oct 2, 2024",0376401,0385912,0372401,0375103,0375103,36395203
"Oct 1, 2024",0395917,0404609,0371478,0376412,0376412,38635885
"Sep 30, 2024",0421419,0421627,0394318,0395917,0395917,37303732
"Sep 29, 2024",0423559,0424814,0415442,0421419,0421419,33682820
"Sep 28, 2024",0433774,0437124,0418852,0423559,0423559,35909029
"Sep 27, 2024",0424973,0437482,0424140,0433774,0433774,36606744
"Sep 26, 2024",0409878,0431172,0403718,0424973,0424973,37573342
"Sep 25, 2024",0408830,0417783,0405168,0409889,0409889,37761815
"Sep 24, 2024",0405923,0408929,0399666,0408835,0408835,37663870
"Sep 23, 2024",0400263,0406939,0395132,0405923,0405923,37172249
"Sep 22, 2024",0408873,0410273,0391850,0400263,0400263,36241018
"Sep 21, 2024",0400326,0410282,0393923,0408873,0408873,35955520
"Sep 20, 2024",0398454,0408767,0391972,0400326,0400326,38235846
"Sep 19, 2024",0385870,0401373,0385870,0398454,0398454,38641730
"Sep 18, 2024",0380704,0385893,0375399,0385870,0385870,40338717
"Sep 17, 2024",0376835,0389107,0376165,0380704,0380704,40846764
"Sep 16, 2024",0383329,0384145,0376367,0376835,0376835,42297951
"Sep 15, 2024",0378415,0386904,0377941,0383329,0383329,40951885
"Sep 14, 2024",0382343,0422969,0376015,0378415,0378415,42256677
"Sep 13, 2024",0378490,0442573,0375842,0382343,0382343,53147484
"Sep 12, 2024",0376397,0378975,0375263,0378490,0378490,36246540
"Sep 11, 2024",0380046,0380367,0373796,0376397,0376397,40981907
"Sep 10, 2024",0382557,0382619,0378103,0380046,0380046,39576111
"Sep 9, 2024",0375697,0384616,0372796,0382557,0382557,64392827
"Sep 8, 2024",0369368,0379369,0367991,0375704,0375704,64257631
"Sep 7, 2024",0365930,0375980,0365004,0369368,0369368,93787608
"Sep 6, 2024",0368578,0378601,0357304,0365930,0365930,187427984
"Sep 5, 2024",0380871,0385005,0363767,0368578,0368578,161593928
"Sep 4, 2024",0397879,0399912,0367961,0380870,0380870,307835531
"Sep 3, 2024",0410927,0414316,0397879,0397879,0397879,218778333
"Sep 2, 2024",0402317,0413632,0396779,0410927,0410927,230435206
"Sep 1, 2024",0420034,0420039,0398470,0402317,0402317,180859650
"Aug 31, 2024",0421047,0426714,0417859,0420034,0420034,139885533
"Aug 30, 2024",0425075,0429835,0401126,0421047,0421047,248358399
"Aug 29, 2024",0436950,0446063,0416295,0425075,0425075,283215249
"Aug 28, 2024",0466031,0466424,0426922,0436951,0436951,422310006
"Aug 27, 2024",0502908,0514172,0462862,0466031,0466031,285603455
"Aug 26, 2024",0524198,0527809,0502657,0502930,0502930,260800936
"Aug 25, 2024",0572145,0573992,0523730,0524192,0524192,350153918
"Aug 24, 2024",0538220,0581077,0531587,0572145,0572145,381291433
"Aug 23, 2024",0531948,0543017,0521047,0538220,0538220,329283232
"Aug 22, 2024",0525393,0539406,0517211,0531948,0531948,410484366
"Aug 21, 2024",0462040,0528269,0456986,0525390,0525390,472751510
